Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	261	2	δ’	head	5	0
0085-002	260	3	γ’	relation	AuxZ	AuxY
0085-002	262-265	4	γέ	relation	AuxZ	AuxY
0085-002	262-265	5	τις	postag	p-s---cn-	p-s---mn-
0085-002	266-267	1	καὶ	postag	d--------	c--------
0085-002	266-267	2	μὴν	head	12	1
0085-002	266-267	5	κοὐ	lemma	καί	οὐ
0085-002	266-267	10	Πέρσαι	lemma	Πέρσης	πέρσης	y
0085-002	278-279	1	οὐδὲν	relation	ADV	AuxZ
0085-002	278-279	5	,	relation	AuxX	AuxY	y
0085-002	283	1	αἰαῖ	relation	ExD	AuxZ	y
0085-002	285	7	μεμνημένος	lemma	μιμνῄσκω	μιμνήσκω	y
0085-002	287-289	1	μεμνῆσθαί	lemma	μιμνῄσκω	μιμνήσκω	y
0085-002	287-289	3	πάρα	lemma	πάρειμι	παρά
0085-002	287-289	3	πάρα	postag	v3ppia---	r--------
0085-002	287-289	9	εὔνιδας	relation	OCOMP	OCOMP_CO
0085-002	287-289	9	εὔνιδας	head	8	10	y
0085-002	287-289	10	ἠδ’	head	9	8
0085-002	286	4	δᾴοις	lemma	δάϊος	δάιος
0085-002	320-325	3	τε	head	41	17
0085-002	320-325	7	,	head	41	17
0085-002	320-325	9	τ’	head	41	17
0085-002	320-325	15	,	relation	AuxX	AuxY	y
0085-002	320-325	15	,	head	41	17
0085-002	320-325	17	θ’	relation	AuxY	COORD
0085-002	320-325	17	θ’	head	41	22
0085-002	320-325	20	,	head	34	22
0085-002	320-325	21	Θάρυβίς	relation	SBJ	SBJ_AP
0085-002	320-325	21	Θάρυβίς	head	34	30
0085-002	320-325	22	τε	relation	AuxY	COORD
0085-002	320-325	22	τε	head	34	0
0085-002	320-325	26	ταγός	relation	APOS	SBJ_AP
0085-002	320-325	26	ταγός	head	21	30
0085-002	320-325	27	,	head	21	30
0085-002	320-325	29	Λυρναῖος	head	21	30
0085-002	320-325	30	,	relation	AuxX	APOS
0085-002	320-325	30	,	head	0	34
0085-002	320-325	32	ἀνήρ	relation	APOS	SBJ_AP
0085-002	320-325	32	ἀνήρ	head	21	30
0085-002	320-325	33	,	head	21	30
0085-002	320-325	34	κεῖται	relation	PRED	PRED_CO
0085-002	320-325	34	κεῖται	head	0	22
0085-002	320-325	35	θανὼν	lemma	θνῄσκω	θνήσκω
0085-002	320-325	36	δείλαιος	relation	ADV_CO	ATV_CO	y
0085-002	320-325	39	εὐτυχῶς	relation	ADV_CO	ATV_CO	y
0085-002	320-325	41	[0]	relation	PRED	PRED_CO
0085-002	320-325	41	[0]	head	34	17
0085-002	302-303	1	Ἀρτεμβάρης	lemma	Ἀρτεμβάρας	Ἀρτεμβάρης
0085-002	302-303	1	Ἀρτεμβάρης	relation	SBJ	SBJ_AP
0085-002	302-303	1	Ἀρτεμβάρης	head	9	12
0085-002	302-303	2	δὲ	head	9	0
0085-002	302-303	5	βραβεὺς	relation	APOS	SBJ_AP
0085-002	302-303	5	βραβεὺς	head	1	12
0085-002	302-303	9	θείνεται	relation	PRED	PRED_CO
0085-002	302-303	9	θείνεται	head	0	2
0085-002	326-328	1	Συέννεσίς	relation	SBJ	SBJ_AP
0085-002	326-328	1	Συέννεσίς	head	17	9
0085-002	326-328	2	τε	relation	AuxY	COORD
0085-002	326-328	2	τε	head	17	0
0085-002	326-328	6	,	head	1	9
0085-002	326-328	7	Κιλίκων	lemma	Κίλιξ	κίλιξ	y
0085-002	326-328	7	Κιλίκων	postag	a-p---mg-	n-p---mg-	y
0085-002	326-328	8	ἄπαρχος	relation	APOS	SBJ_AP
0085-002	326-328	8	ἄπαρχος	head	1	9
0085-002	326-328	9	,	relation	AuxX	APOS
0085-002	326-328	9	,	head	0	17
0085-002	326-328	10	εἷς	postag	m-s---mn-	n-s---mn-
0085-002	326-328	11	ἀνὴρ	relation	APOS	SBJ_AP
0085-002	326-328	11	ἀνὴρ	head	1	9
0085-002	326-328	12	πλεῖστον	lemma	πολύς	πλεῖστος
0085-002	326-328	12	πλεῖστον	postag	a-s---mas	a-s---ma-
0085-002	326-328	17	ἀπώλετο	postag	v3saim---	v3sai----	y
0085-002	326-328	17	ἀπώλετο	relation	PRED	PRED_CO
0085-002	326-328	17	ἀπώλετο	head	0	2
0085-002	306-307	1	Τενάγων	relation	SBJ	SBJ_AP
0085-002	306-307	1	Τενάγων	head	9	11
0085-002	306-307	2	τ’	relation	AuxY	COORD
0085-002	306-307	2	τ’	head	9	0
